ticket_text,sentiment,topic
Thanks for the quick resolution of my invoice is incorrect.,positive,billing
Appreciate the support on app crashes on start‑up.,positive,technical
Thanks for the quick resolution of please add a dark‑mode option.,positive,feature
This is unacceptable: my invoice is incorrect.,negative,billing
Appreciate the support on please add a dark‑mode option.,positive,feature
This is unacceptable: requesting integration with slack.,negative,feature
Thanks for the quick resolution of password‑reset link not working.,positive,account
I'm frustrated because pages load very slowly!,negative,service
I'm frustrated because password‑reset link not working!,negative,account
Thanks for the quick resolution of i can't update my profile details.,positive,account
Still waiting for a fix on service unavailable in my area.,negative,service
This is unacceptable: please update my billing address.,negative,billing
Appreciate the support on requesting integration with slack.,positive,feature
Great job handling my invoice is incorrect.,positive,billing
Great job handling my invoice is incorrect.,positive,billing
Great job handling i can't update my profile details.,positive,account
This is unacceptable: cannot connect to server.,negative,technical
Appreciate the support on account locked after failed attempts.,positive,account
Appreciate the support on please update my billing address.,positive,billing
Still waiting for a fix on app crashes on start‑up.,negative,technical
Thanks for the quick resolution of please add a dark‑mode option.,positive,feature
Great job handling app crashes on start‑up.,positive,technical
This is unacceptable: password‑reset link not working.,negative,account
Great job handling password‑reset link not working.,positive,account
I'm frustrated because internet has been down since morning!,negative,service
This is unacceptable: need an export‑to‑csv feature.,negative,feature
I'm frustrated because service unavailable in my area!,negative,service
I'm frustrated because error 500 while uploading a file!,negative,technical
Appreciate the support on my invoice is incorrect.,positive,billing
Still waiting for a fix on service unavailable in my area.,negative,service
Appreciate the support on requesting integration with slack.,positive,feature
Appreciate the support on please update my billing address.,positive,billing
Great job handling requesting integration with slack.,positive,feature
Still waiting for a fix on need refund for over‑charge.,negative,billing
Great job handling please update my billing address.,positive,billing
Thanks for the quick resolution of please add a dark‑mode option.,positive,feature
Thanks for the quick resolution of account locked after failed attempts.,positive,account
Appreciate the support on cannot connect to server.,positive,technical
Great job handling please add a dark‑mode option.,positive,feature
Great job handling my invoice is incorrect.,positive,billing
This is unacceptable: app crashes on start‑up.,negative,technical
Thanks for the quick resolution of my invoice is incorrect.,positive,billing
Still waiting for a fix on please add a dark‑mode option.,negative,feature
